energyfamiliarity,currenthydrogen,currentgeothermal,currentsolar,currentcoal,currentnuclear,currenthydroelectric,currentoil,currentnaturalgas,stdevhydrogen,stdevgeothermal,stdevsolar,stdevcoal,stdevnuclear,stdevhydroelectric,stdevoil,stdevnaturalgas,avgstdevoff,avgoff,hydrogenoff,geothermaloff,solaroff,coaloff,nuclearoff,hydroelectricoff,oiloff,naturalgasoff,wanthydrogen,wantgeothermal,wantsolar,wantcoal,wantnuclear,wanthydroelectric,wantoil,wantnaturalgas,important,worry,personalimpact,futureimpact,age,race,gender,education,householdincome,state,zipcode,ideology,ideologystrength,party,sassy,difwanthydrogen,difwantgeothermal,difwantsolar,difwantcoal,difwantnuclear,difwanthydroelectric,difwantoil,difwantnaturalgas
About the Same,5,5,20,30,5,5,5,25,0.108253313,0.140512636,1.465287117,0.556946308,-0.645801911,-0.515220301,-1.172774943,0.364269846,0.621133297,7.575,5,4.6,17.3,4.1,-17.2,-1.2,4.5,-6.7,0,0,20,40,0,0,0,40,Somewhat important,Not Very Worried,Not at All,Only a Little,52,White,Man,Associates or technical degree,"$25,000-$49,999",Texas,75180,Conservative,Moderately,Republican,Doubtful,-5,-5,0,10,-5,-5,-5,15
About the Same,15,0,20,5,0,10,70,10,1.787041083,-0.766201047,1.465287117,-1.051993141,-1.138159859,0.04753929,2.839594281,-0.729180913,1.228124591,21.35,15,-0.4,17.3,-20.9,-22.2,3.8,69.5,-21.7,0,0,50,0,0,50,0,0,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,44,White,Woman,"Some college, but no degree","$25,000-$49,999",Connecticut,6354,Moderate,Moderately,Democrat,Cautious,-15,0,30,-5,0,40,-70,-10
About the Same,7,1,3,1,30,20,35,3,0.444010867,-0.58485831,-0.833677153,-1.309423453,1.815987831,1.173058473,0.679087776,-1.239457934,1.009945225,14.7,7,0.6,0.3,-24.9,7.8,13.8,34.5,-28.7,20,2,20,1,30,11,1,15,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,33,"Hispanic, Latino, or Spanish origin,Native Hawaiian or Other Pacific Islander",Man,Bachelor degree,"$100,000-$149,999",California,93455,Moderate,Moderately,Republican,Cautious,13,1,17,0,0,-9,-34,12
Less Than,0,0,5,15,0,0,30,50,-0.731140572,-0.766201047,-0.563210768,-0.408417361,-1.138159859,-1.077979892,0.370443989,2.186687777,0.905280158,11.225,0,-0.4,2.3,-10.9,-22.2,-6.2,29.5,18.3,0,0,100,0,0,0,0,0,Very Important,Very Worried,A Great Deal,A Great Deal,21,Asian or Asian American,Woman,"Some college, but no degree","$100,000-$149,999",Arizona,86001,Liberal,Moderately,Democrat,Alarmed,0,0,95,-15,0,0,-30,-50
About the Same,3,3,10,30,1,5,20,28,-0.227504241,-0.222172837,0.112955193,0.556946308,-1.03968827,-0.515220301,-0.246843584,0.582959998,0.438036341,7.825,3,2.6,7.3,4.1,-21.2,-1.2,19.5,-3.7,1,20,40,4,5,15,8,7,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,52,White,Woman,Bachelor degree,"$50,000-$74,999",Arizona,85713,Moderate,Strongly,Republican,Concerned,-2,17,30,-26,4,10,-12,-21
About the Same,5,5,15,30,5,10,15,15,0.108253313,0.140512636,0.789121155,0.556946308,-0.645801911,0.04753929,-0.55548737,-0.364697327,0.401044914,9.775,5,4.6,12.3,4.1,-17.2,3.8,14.5,-16.7,10,10,20,5,5,20,20,10,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,59,Asian or Asian American,Woman,Graduate or professional degree ,"$100,000-$149,999",Arizona,85251,Conservative,Strongly,Republican,Cautious,5,5,5,-25,0,10,5,-5
More Than,5,5,5,5,15,15,40,25,0.108253313,0.140512636,-0.563210768,-1.051993141,0.338913986,0.610298881,0.987731562,0.364269846,0.520648017,11.875,5,4.6,2.3,-20.9,-7.2,8.8,39.5,-6.7,5,5,5,5,5,10,50,20,Not too important,Not At All Worried,Not at All,Only a Little,65,White,Woman,Bachelor degree,Prefer not to say,Michigan,49091,Conservative,Strongly,Republican,Doubtful,0,0,0,0,-10,-5,10,-5
About the Same,10,30,5,5,20,10,10,10,0.947647198,4.674081049,-0.563210768,-1.051993141,0.831271934,0.04753929,-0.864131157,-0.729180913,1.213631931,12.5,10,29.6,2.3,-20.9,-2.2,3.8,9.5,-21.7,0,100,0,0,0,0,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,32,"Hispanic, Latino, or Spanish origin,Black or African American",Woman,"Some college, but no degree","$25,000-$49,999",New York,10029,Liberal,Moderately,Libertarian,Alarmed,-10,70,-5,-5,-20,-10,-10,-10
About the Same,0,2,10,20,2,2,24,40,-0.731140572,-0.403515574,0.112955193,-0.086629471,-0.94121668,-0.852876056,7.14E-05,1.457720605,0.573265699,8.875,0,1.6,7.3,-5.9,-20.2,-4.2,23.5,8.3,0,10,60,0,0,30,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,23,White,Woman,"Some college, but no degree","Less than $25,000",Pennsylvania,15213,Liberal,Weakly,Democrat,Alarmed,0,8,50,-20,-2,28,-24,-40
Less Than,5,5,8,5,12,10,40,15,0.108253313,0.140512636,-0.157511191,-1.051993141,0.043499217,0.04753929,0.987731562,-0.364697327,0.36271721,13.25,5,4.6,5.3,-20.9,-10.2,3.8,39.5,-16.7,3,5,30,5,17,30,5,5,Very Important,Very Worried,A Moderate Amount,A Great Deal,27,White,Woman,High school diploma or GED,"Less than $25,000",Kansas,67147,Liberal,Strongly,Independent,Alarmed,-2,0,22,0,5,20,-35,-10
More Than,5,5,40,10,20,5,5,10,0.108253313,0.140512636,4.169950964,-0.730205251,0.831271934,-0.515220301,-1.172774943,-0.729180913,1.049671282,11.55,5,4.6,37.3,-15.9,-2.2,-1.2,4.5,-21.7,0,0,100,0,0,0,0,100,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,25,White,Woman,"Some college, but no degree","$50,000-$74,999",Alabama,35661,Conservative,Moderately,Republican,Alarmed,-5,-5,60,-10,-20,-5,-5,90
More Than,1,1,1,35,1,1,30,30,-0.563261795,-0.58485831,-1.104143538,0.878734198,-1.03968827,-0.965427974,0.370443989,0.728753432,0.779413938,8.75,1,0.6,-1.7,9.1,-21.2,-5.2,29.5,-1.7,5,10,70,1,2,10,1,1,Very Important,Very Worried,A Moderate Amount,A Moderate Amount,37,"Hispanic, Latino, or Spanish origin",Woman,Bachelor degree,Prefer not to say,Texas,77584,Moderate,Moderately,None,Concerned,4,9,69,-34,1,9,-29,-29
About the Same,1,1,1,30,40,2,5,20,-0.563261795,-0.58485831,-1.104143538,0.556946308,2.800703728,-0.852876056,-1.172774943,-0.00021374,0.954472302,5.7,1,0.6,-1.7,4.1,17.8,-4.2,4.5,-11.7,0,0,0,0,100,0,0,0,Not too important,Not At All Worried,,,33,White,Man,Bachelor degree,"$100,000-$149,999",New Jersey,8753,Moderate,Strongly,Independent,,-1,-1,-1,-30,60,-2,-5,-20
About the Same,10,10,10,10,10,5,20,25,0.947647198,1.047226318,0.112955193,-0.730205251,-0.153443962,-0.515220301,-0.246843584,0.364269846,0.514726457,10.3,10,9.6,7.3,-15.9,-12.2,-1.2,19.5,-6.7,15,15,20,5,15,10,10,10,Very Important,Very Worried,A Moderate Amount,A Great Deal,34,White,Woman,Graduate or professional degree ,"$150,000 or more",New York,12019,Moderate,Moderately,Independent,Alarmed,5,5,10,-5,5,5,-10,-15
About the Same,0,10,5,20,10,5,35,15,-0.731140572,1.047226318,-0.563210768,-0.086629471,-0.153443962,-0.515220301,0.679087776,-0.364697327,0.517582062,10.3,0,9.6,2.3,-5.9,-12.2,-1.2,34.5,-16.7,10,10,20,5,10,10,20,15,Somewhat important,Not Very Worried,Only a Little,A Moderate Amount,61,White,Man,"Some college, but no degree","$50,000-$74,999",Indiana,46835,Conservative,Moderately,Republican,Cautious,10,0,15,-15,0,5,-15,0
About the Same,5,5,10,10,10,5,50,5,0.108253313,0.140512636,0.112955193,-0.730205251,-0.153443962,-0.515220301,1.605019135,-1.093664499,0.557409286,15.3,5,4.6,7.3,-15.9,-12.2,-1.2,49.5,-26.7,30,0,30,0,20,20,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,36,White,Man,High school diploma or GED,"$25,000-$49,999",Tennessee,37129,Liberal,Strongly,Democrat,Alarmed,25,-5,20,-10,10,15,-50,-5
Much Less Than,10,10,15,15,10,10,15,15,0.947647198,1.047226318,0.789121155,-0.408417361,-0.153443962,0.04753929,-0.55548737,-0.364697327,0.539197498,11.25,10,9.6,12.3,-10.9,-12.2,3.8,14.5,-16.7,0,0,100,0,0,0,0,0,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,19,"Hispanic, Latino, or Spanish origin",Woman,"Some college, but no degree","Less than $25,000",Kentucky,40403,Liberal,Weakly,Democrat,Concerned,-10,-10,85,-15,-10,-10,-15,-15
About the Same,10,10,10,10,10,20,20,10,0.947647198,1.047226318,0.112955193,-0.730205251,-0.153443962,1.173058473,-0.246843584,-0.729180913,0.642570112,13.75,10,9.6,7.3,-15.9,-12.2,13.8,19.5,-21.7,5,15,10,20,20,5,10,15,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,33,White,Man,"Some college, but no degree","Less than $25,000",Georgia,30120,Moderate,Moderately,Independent,Cautious,-5,5,0,10,10,-15,-10,5
About the Same,5,5,5,20,15,10,25,20,0.108253313,0.140512636,-0.563210768,-0.086629471,0.338913986,0.04753929,0.061800203,-0.00021374,0.168384176,8.125,5,4.6,2.3,-5.9,-7.2,3.8,24.5,-11.7,20,5,40,0,10,20,0,5,Very Important,Somewhat Worried,A Moderate Amount,A Moderate Amount,32,White,Woman,Bachelor degree,"$50,000-$74,999",Washington,98001,Liberal,Strongly,Democrat,Concerned,15,0,35,-20,-5,10,-25,-15
More Than,0,0,0,4,16,0,40,40,-0.731140572,-0.766201047,-1.23937673,-1.116350719,0.437385576,-1.077979892,0.987731562,1.457720605,0.976735838,10.65,0,-0.4,-2.7,-21.9,-6.2,-6.2,39.5,8.3,0,0,0,0,0,0,100,0,Not at all important,Not At All Worried,Not at All,Not At All,46,"White,Native American or Alaska Native",Man,High school diploma or GED,"$25,000-$49,999",California,92553,Moderate,Weakly,Independent,Dismissive,0,0,0,-4,-16,0,60,-40
More Than,10,5,25,20,25,5,10,0,0.947647198,0.140512636,2.141453079,-0.086629471,1.323629883,-0.515220301,-0.864131157,-1.458148085,0.934671476,11,10,4.6,22.3,-5.9,2.8,-1.2,9.5,-31.7,50,20,30,0,0,0,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,52,"Hispanic, Latino, or Spanish origin,Black or African American",Man,"Some college, but no degree","Less than $25,000",Arizona,85017,Liberal,Strongly,Democrat,Alarmed,40,15,5,-20,-25,-5,-10,0
More Than,10,5,15,40,5,5,10,10,0.947647198,0.140512636,0.789121155,1.200522088,-0.645801911,-0.515220301,-0.864131157,-0.729180913,0.72901717,11.325,10,4.6,12.3,14.1,-17.2,-1.2,9.5,-21.7,15,10,30,0,30,15,0,0,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,26,"White,Hispanic, Latino, or Spanish origin",Man,Bachelor degree,"$150,000 or more",California,95037,Liberal,Weakly,Democrat,Cautious,5,5,15,-40,25,10,-10,-10
About the Same,6,2,4,23,15,20,15,15,0.27613209,-0.403515574,-0.698443961,0.106443263,0.338913986,1.173058473,-0.55548737,-0.364697327,0.489586505,8,6,1.6,1.3,-2.9,-7.2,13.8,14.5,-16.7,100,0,0,0,0,0,0,0,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,28,White,Woman,Bachelor degree,"$75,000-$99,999",Illinois,60169,Liberal,Moderately,Independent,Concerned,94,-2,-4,-23,-15,-20,-15,-15
About the Same,0,5,5,50,10,10,10,10,-0.731140572,0.140512636,-0.563210768,1.844097868,-0.153443962,0.04753929,-0.864131157,-0.729180913,0.634157146,9.775,0,4.6,2.3,24.1,-12.2,3.8,9.5,-21.7,5,10,15,20,5,10,20,15,Somewhat important,Somewhat Worried,A Moderate Amount,A Moderate Amount,60,White,Man,"Some college, but no degree","Less than $25,000",North Carolina,28803,Conservative,Moderately,Independent,Cautious,5,5,10,-30,-5,0,10,5
Much More Than,0,0,0,0,0,0,50,50,-0.731140572,-0.766201047,-1.23937673,-1.373781031,-1.138159859,-1.077979892,1.605019135,2.186687777,1.264793255,15.65,0,-0.4,-2.7,-25.9,-22.2,-6.2,49.5,18.3,0,0,100,0,0,0,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,58,Black or African American,Woman,"Some college, but no degree","$25,000-$49,999",Georgia,30152,Liberal,Strongly,Democrat,Alarmed,0,0,100,0,0,0,-50,-50
Less Than,5,5,15,20,5,15,25,10,0.108253313,0.140512636,0.789121155,-0.086629471,-0.645801911,0.610298881,0.061800203,-0.729180913,0.39644981,12.5,5,4.6,12.3,-5.9,-17.2,8.8,24.5,-21.7,20,10,60,0,0,10,0,0,Very Important,Somewhat Worried,A Great Deal,A Great Deal,42,White,Woman,Graduate or professional degree ,"$100,000-$149,999",Vermont,5301,Moderate,Weakly,Independent,Alarmed,15,5,45,-20,-5,-5,-25,-10
About the Same,1,1,10,10,20,40,8,10,-0.563261795,-0.58485831,0.112955193,-0.730205251,0.831271934,3.424096838,-0.987588671,-0.729180913,0.995427363,11.25,1,0.6,7.3,-15.9,-2.2,33.8,7.5,-21.7,5,5,50,0,10,30,0,0,Not too important,Not Very Worried,Only a Little,A Great Deal,38,White,Woman,Bachelor degree,"$75,000-$99,999",Texas,78748,Moderate,Moderately,Democrat,Cautious,4,4,40,-10,-10,-10,-8,-10
About the Same,2,2,10,2,2,2,25,55,-0.395383018,-0.403515574,0.112955193,-1.245065875,-0.94121668,-0.852876056,0.061800203,2.551171363,0.820497995,13.375,2,1.6,7.3,-23.9,-20.2,-4.2,24.5,23.3,10,5,60,0,5,20,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,21,"Hispanic, Latino, or Spanish origin",Woman,Associates or technical degree,"$25,000-$49,999",New Mexico,87701,Liberal,Weakly,Democrat,Alarmed,8,3,50,-2,3,18,-25,-55
About the Same,5,5,20,15,5,10,20,20,0.108253313,0.140512636,1.465287117,-0.408417361,-0.645801911,0.04753929,-0.246843584,-0.00021374,0.382858619,11.25,5,4.6,17.3,-10.9,-17.2,3.8,19.5,-11.7,20,0,30,10,5,25,0,10,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,52,White,Woman,Associates or technical degree,"$100,000-$149,999",Wisconsin,54026,Moderate,Strongly,Independent,Cautious,15,-5,10,-5,0,15,-20,-10
About the Same,5,2,10,5,10,3,25,40,0.108253313,-0.403515574,0.112955193,-1.051993141,-0.153443962,-0.740324138,0.061800203,1.457720605,0.511250766,10.375,5,1.6,7.3,-20.9,-12.2,-3.2,24.5,8.3,0,0,30,0,0,0,40,30,Not too important,Not Very Worried,Not at All,A Moderate Amount,58,Black or African American,Man,"Some college, but no degree","$25,000-$49,999",Michigan,48092,Moderate,Moderately,Democrat,Cautious,-5,-2,20,-5,-10,-3,15,-10
Much Less Than,20,5,40,10,40,20,40,50,2.626434968,0.140512636,4.169950964,-0.730205251,2.800703728,1.173058473,0.987731562,2.186687777,1.85191067,20.9,20,4.6,37.3,-15.9,17.8,13.8,39.5,18.3,20,5,40,10,20,30,10,15,Not too important,Not Very Worried,Only a Little,Only a Little,42,Black or African American,Man,High school diploma or GED,"$25,000-$49,999",California,92083,Moderate,Weakly,Independent,Doubtful,0,0,0,0,-20,10,-30,-35
About the Same,0,2,10,50,15,20,2,1,-0.731140572,-0.403515574,0.112955193,1.844097868,0.338913986,1.173058473,-1.357961215,-1.385251368,0.918361781,10.775,0,1.6,7.3,24.1,-7.2,13.8,1.5,-30.7,15,15,45,0,0,25,0,0,Very Important,Very Worried,Only a Little,A Great Deal,62,White,Man,"Some college, but no degree","$25,000-$49,999",Tennessee,38115,Moderate,Moderately,Independent,Alarmed,15,13,35,-50,-15,5,-2,-1
About the Same,2,2,5,11,7,2,60,11,-0.395383018,-0.403515574,-0.563210768,-0.665847673,-0.448858731,-0.852876056,2.222306708,-0.656284196,0.77603534,15.05,2,1.6,2.3,-14.9,-15.2,-4.2,59.5,-20.7,40,5,20,5,10,10,5,5,Somewhat important,Somewhat Worried,Only a Little,Only a Little,30,White,Woman,Bachelor degree,"$100,000-$149,999",Michigan,49315,Moderate,Moderately,Independent,Cautious,38,3,15,-6,3,8,-55,-6
About the Same,0,1,12,23,15,19,10,20,-0.731140572,-0.58485831,0.383421578,0.106443263,0.338913986,1.060506554,-0.864131157,-0.00021374,0.508703645,6.75,0,0.6,9.3,-2.9,-7.2,12.8,9.5,-11.7,10,20,32,0,25,7,0,6,Extremely Important,Somewhat Worried,Only a Little,A Great Deal,64,White,Man,Graduate or professional degree ,"$150,000 or more",Washington,98225,Moderate,Moderately,Independent,Alarmed,10,19,20,-23,10,-12,-10,-14
About the Same,1,1,1,80,2,1,9,5,-0.563261795,-0.58485831,-1.104143538,3.774825207,-0.94121668,-0.965427974,-0.925859914,-1.093664499,1.24415724,14.75,1,0.6,-1.7,54.1,-20.2,-5.2,8.5,-26.7,10,2,2,0,70,16,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,20,White,Non-binary / Gender Non-conforming,High school diploma or GED,"$75,000-$99,999",Utah,84005,Liberal,Moderately,Other,Alarmed,9,1,1,-80,68,15,-9,-5
About the Same,1,1,5,60,7,10,1,15,-0.563261795,-0.58485831,-0.563210768,2.487673647,-0.448858731,0.04753929,-1.419689972,-0.364697327,0.80997373,9.275,1,0.6,2.3,34.1,-15.2,3.8,0.5,-16.7,5,5,20,20,20,20,5,5,Not too important,Not At All Worried,Not at All,Only a Little,59,White,Man,"Some college, but no degree","Less than $25,000",Michigan,49079,Moderate,Weakly,Republican,Doubtful,4,4,15,-40,13,10,4,-10
About the Same,5,0,5,60,5,5,15,5,0.108253313,-0.766201047,-0.563210768,2.487673647,-0.645801911,-0.515220301,-0.55548737,-1.093664499,0.841939107,12.675,5,-0.4,2.3,34.1,-17.2,-1.2,14.5,-26.7,0,0,0,50,40,0,10,0,Not too important,Not At All Worried,Not at All,Not At All,66,White,Man,Bachelor degree,"$100,000-$149,999",Texas,76226,Conservative,Moderately,Republican,Dismissive,-5,0,-5,-10,35,-5,-5,-5
More Than,11,22,11,11,11,12,11,11,1.115525975,3.223339157,0.248188386,-0.665847673,-0.054972373,0.272643127,-0.802402399,-0.656284196,0.879900411,13,11,21.6,8.3,-14.9,-11.2,5.8,10.5,-20.7,11,2,1,22,3,12,2,1,Very Important,Not Very Worried,A Moderate Amount,A Moderate Amount,58,Asian or Asian American,Man,Graduate or professional degree ,"$75,000-$99,999",Virginia,22193,Conservative,Weakly,Democrat,Cautious,0,-20,-10,11,-8,0,-9,-10
About the Same,4,3,9,28,5,2,29,20,-0.059625464,-0.222172837,-0.022277999,0.428231152,-0.645801911,-0.852876056,0.308715232,-0.00021374,0.317489299,9.575,4,2.6,6.3,2.1,-17.2,-4.2,28.5,-11.7,15,10,20,10,12,8,10,15,Very Important,Somewhat Worried,Only a Little,A Great Deal,40,White,Woman,Bachelor degree,"$75,000-$99,999",Wisconsin,53188,Liberal,Weakly,Democrat,Concerned,11,7,11,-18,7,6,-19,-5
More Than,0,,10,30,20,10,10,20,-0.731140572,-0.766201047,0.112955193,0.556946308,0.831271934,0.04753929,-0.864131157,-0.00021374,0.488799905,4.875,0,-0.4,7.3,4.1,-2.2,3.8,9.5,-11.7,0,0,100,0,0,0,0,0,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,53,White,Man,Bachelor degree,"$100,000-$149,999",California,93271,Liberal,Strongly,Democrat,Concerned,0,0,90,-30,-20,-10,-10,-20
About the Same,0,0,5,10,0,5,30,50,-0.731140572,-0.766201047,-0.563210768,-0.730205251,-1.138159859,-0.515220301,0.370443989,2.186687777,0.875158696,11.225,0,-0.4,2.3,-15.9,-22.2,-1.2,29.5,18.3,0,0,30,0,40,30,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,35,Black or African American,Woman,Bachelor degree,"$75,000-$99,999",Maryland,21740,Liberal,Strongly,Democrat,Alarmed,0,0,25,-10,40,25,-30,-50
About the Same,5,5,15,20,15,20,10,10,0.108253313,0.140512636,0.789121155,-0.086629471,0.338913986,1.173058473,-0.864131157,-0.729180913,0.528725138,10,5,4.6,12.3,-5.9,-7.2,13.8,9.5,-21.7,20,10,60,0,0,10,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,42,White,Woman,Bachelor degree,"$100,000-$149,999",Tennessee,37312,Liberal,Strongly,Democrat,Alarmed,15,5,45,-20,-15,-10,-10,-10
About the Same,0,0,0,0,0,0,0,0,-0.731140572,-0.766201047,-1.23937673,-1.373781031,-1.138159859,-1.077979892,-1.48141873,-1.458148085,1.158275743,11.2,0,-0.4,-2.7,-25.9,-22.2,-6.2,-0.5,-31.7,0,0,0,0,0,0,0,25,Somewhat important,Not Very Worried,Only a Little,,27,White,Woman,Graduate or professional degree ,"$150,000 or more",New York,13601,Moderate,Moderately,Independent,,0,0,0,0,0,0,0,25
About the Same,1,1,3,30,5,15,20,25,-0.563261795,-0.58485831,-0.833677153,0.556946308,-0.645801911,0.610298881,-0.246843584,0.364269846,0.550744724,7.275,1,0.6,0.3,4.1,-17.2,8.8,19.5,-6.7,5,5,15,1,40,15,9,10,Very Important,Very Worried,A Great Deal,A Great Deal,26,Asian or Asian American,Man,Bachelor degree,"$100,000-$149,999",New York,11106,Liberal,Strongly,Democrat,Alarmed,4,4,12,-29,35,0,-11,-15
About the Same,5,5,10,25,5,10,35,5,0.108253313,0.140512636,0.112955193,0.235158419,-0.645801911,0.04753929,0.679087776,-1.093664499,0.38287163,12.5,5,4.6,7.3,-0.9,-17.2,3.8,34.5,-26.7,20,20,50,0,2,4,1,3,Very Important,Very Worried,A Great Deal,A Great Deal,26,Asian or Asian American,Woman,Bachelor degree,"$100,000-$149,999",California,90066,Liberal,Strongly,Democrat,Alarmed,15,15,40,-25,-3,-6,-34,-2
About the Same,1,1,10,5,1,5,52,25,-0.563261795,-0.58485831,0.112955193,-1.051993141,-1.03968827,-0.515220301,1.72847665,0.364269846,0.745090438,13.8,1,0.6,7.3,-20.9,-21.2,-1.2,51.5,-6.7,50,0,50,0,0,0,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,30,Asian or Asian American,Woman,Bachelor degree,"$150,000 or more",California,95409,Liberal,Moderately,Democrat,Alarmed,49,-1,40,-5,-1,-5,-52,-25
About the Same,5,5,5,10,20,5,20,30,0.108253313,0.140512636,-0.563210768,-0.730205251,0.831271934,-0.515220301,-0.246843584,0.728753432,0.483033902,6.55,5,4.6,2.3,-15.9,-2.2,-1.2,19.5,-1.7,2,2,4,20,40,2,20,10,Not at all important,Not At All Worried,Not at All,Not At All,65,White,Woman,Bachelor degree,"$75,000-$99,999",Indiana,46113,Conservative,Strongly,Independent,Dismissive,-3,-3,-1,10,20,-3,0,-20
More Than,5,5,10,20,5,10,20,25,0.108253313,0.140512636,0.112955193,-0.086629471,-0.645801911,0.04753929,-0.246843584,0.364269846,0.219100656,8.75,5,4.6,7.3,-5.9,-17.2,3.8,19.5,-6.7,0,0,50,0,50,0,0,0,Very Important,Very Worried,A Great Deal,A Moderate Amount,31,White,Woman,Graduate or professional degree ,"$100,000-$149,999",California,94102,Liberal,Strongly,Democrat,Alarmed,-5,-5,40,-20,45,-10,-20,-25
About the Same,20,5,10,5,15,5,20,20,2.626434968,0.140512636,0.112955193,-1.051993141,0.338913986,-0.515220301,-0.246843584,-0.00021374,0.629135944,11.55,20,4.6,7.3,-20.9,-7.2,-1.2,19.5,-11.7,0,0,35,0,0,50,15,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,59,White,Man,Associates or technical degree,"$50,000-$74,999",Oklahoma,73448,Moderate,Strongly,Independent,Alarmed,-20,-5,25,-5,-15,45,-5,-20
About the Same,0,0,0,10,0,0,80,10,-0.731140572,-0.766201047,-1.23937673,-0.730205251,-1.138159859,-1.077979892,3.456881854,-0.729180913,1.233640765,18.575,0,-0.4,-2.7,-15.9,-22.2,-6.2,79.5,-21.7,0,0,0,0,80,0,10,10,Somewhat important,Not Very Worried,Only a Little,Only a Little,30,White,Woman,Bachelor degree,"$75,000-$99,999",New York,11787,Moderate,Weakly,Independent,Cautious,0,0,0,-10,80,0,-70,0
About the Same,3,2,5,25,35,10,15,5,-0.227504241,-0.403515574,-0.563210768,0.235158419,2.308345779,0.04753929,-0.55548737,-1.093664499,0.679303243,8.2,3,1.6,2.3,-0.9,12.8,3.8,14.5,-26.7,0,10,60,0,20,10,0,0,Extremely Important,Somewhat Worried,A Moderate Amount,A Great Deal,37,White,Man,High school diploma or GED,"$25,000-$49,999",Indiana,47807,Moderate,Strongly,Independent,Alarmed,-3,8,55,-25,-15,0,-15,-5
About the Same,5,5,10,15,5,5,5,50,0.108253313,0.140512636,0.112955193,-0.408417361,-0.645801911,-0.515220301,-1.172774943,2.186687777,0.661327929,8.625,5,4.6,7.3,-10.9,-17.2,-1.2,4.5,18.3,0,0,80,0,0,20,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,35,"White,Hispanic, Latino, or Spanish origin",Man,"Some college, but no degree","$75,000-$99,999",California,95747,Liberal,Strongly,Democrat,Alarmed,-5,-5,70,-15,-5,15,-5,-50
